"","id","n_accidents","All.usual.residents","Males","Females","children","adults","A Road","B Road","Motorway","Not Classified","Unclassified","Total_km","LSOA11CD"
"99","W01000099",80,1768,885,883,403,1365,4.689,0.742,0,15.018,20.29,40.739,"W01000099"
"100","W01000100",8,1054,521,533,220,834,4.901,4.497,0,26.483,15.103,50.984,"W01000100"
"101","W01000101",65,1533,756,777,381,1152,4.164,0,0,13.289,8.802,26.255,"W01000101"
"102","W01000102",42,1217,610,607,254,963,1.102,0,0,3.988,6.758,11.848,"W01000102"
"103","W01000103",122,1233,597,636,266,967,6.9,0.121,0,19.067,21.127,47.215,"W01000103"
"104","W01000104",38,1793,839,954,377,1416,0.924,1.182,0,7.661,11.927,21.694,"W01000104"
"105","W01000105",14,1775,888,887,397,1378,1.856,0,0,5.071,6.152,13.079,"W01000105"
"106","W01000106",60,1732,844,888,208,1524,1.829,0,0,19.514,15.287,36.63,"W01000106"
"107","W01000107",60,1257,598,659,227,1030,30.454,0.416,0,57.581,18.854,107.305,"W01000107"
"108","W01000108",60,2190,1060,1130,463,1727,3.73,0,0,4.007,9.358,17.095,"W01000108"
"109","W01000109",6,1886,964,922,356,1530,0,0,0,3.345,8.543,11.888,"W01000109"
"110","W01000110",7,1506,711,795,346,1160,0.087,0,0,0.662,4.237,4.986,"W01000110"
"111","W01000111",57,1532,759,773,297,1235,1.174,0.488,0,4.749,8.966,15.377,"W01000111"
"112","W01000112",14,1930,951,979,463,1467,0,1.552,0,17.819,15.913,35.284,"W01000112"
"113","W01000113",63,1871,899,972,399,1472,8.302,7.027,0,18.569,12.459,46.357,"W01000113"
"114","W01000114",209,1604,795,809,328,1276,33.556,1.874,0,81.465,57.757,174.652,"W01000114"
"115","W01000115",64,2218,1088,1130,493,1725,2.095,5.126,0,17.018,19.843,44.082,"W01000115"
"116","W01000116",40,1685,777,908,219,1466,2.856,0,0,17.441,17.323,37.62,"W01000116"
"117","W01000117",25,1579,732,847,304,1275,0.839,0,0,4.48,8.021,13.34,"W01000117"
"118","W01000118",36,1676,823,853,382,1294,15.492,0.461,0,36.386,14.079,66.418,"W01000118"
"119","W01000119",42,2284,1145,1139,424,1860,1.05,0.271,0,8.434,19.377,29.132,"W01000119"
"120","W01000120",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","W01000121",195,1244,637,607,218,1026,30.858,1.566,0,135.766,24.87,193.06,"W01000121"
"122","W01000122",153,2122,1047,1075,384,1738,12.635,17.949,0,41.635,116.972,189.191,"W01000122"
"123","W01000123",56,1815,913,902,356,1459,0.512,0,0,7.247,13.618,21.377,"W01000123"
"124","W01000124",52,2007,970,1037,350,1657,0,9.148,0,38.972,55.255,103.375,"W01000124"
"125","W01000125",103,1485,719,766,238,1247,3.034,0,0,7.221,9.846,20.101,"W01000125"
"126","W01000126",24,1716,879,837,352,1364,0.065,0,0,0.761,6.94,7.766,"W01000126"
"127","W01000127",30,1367,667,700,316,1051,0.609,0,0,0.358,2.722,3.689,"W01000127"
"128","W01000128",33,1483,709,774,283,1200,0.474,0,0,1.122,4.58,6.176,"W01000128"
"129","W01000129",39,1064,509,555,216,848,5.495,0,0,3.997,8.406,17.898,"W01000129"
"130","W01000130",49,1537,764,773,233,1304,1.312,0.065,0,1.455,5.412,8.244,"W01000130"
"131","W01000131",17,1464,696,768,330,1134,0,1.579,0,2.741,3.84,8.16,"W01000131"
"132","W01000132",52,1537,729,808,225,1312,0.005,0.329,0,0.724,3.226,4.284,"W01000132"
"133","W01000133",58,1887,870,1017,262,1625,0.271,1.07,0,3.987,9.898,15.226,"W01000133"
"134","W01000134",51,2118,1000,1118,413,1705,5.052,1.867,0,4.02,7.145,18.084,"W01000134"
"135","W01000135",55,2081,952,1129,265,1816,0.506,0.564,0,1.404,9.356,11.83,"W01000135"
"136","W01000136",37,1855,923,932,333,1522,0.653,0.408,0,1.561,6.49,9.112,"W01000136"
"137","W01000137",119,1537,767,770,296,1241,10.727,7.917,0,32.132,72.624,123.4,"W01000137"
"138","W01000138",19,1826,868,958,348,1478,0.094,1.495,0,0.998,4.101,6.688,"W01000138"
"139","W01000139",45,1721,864,857,417,1304,0.399,0.156,0,0.832,3.74,5.127,"W01000139"
"140","W01000140",145,1466,706,760,312,1154,5.321,0.236,0,9.057,14.374,28.988,"W01000140"
"141","W01000141",7,1542,703,839,171,1371,0.374,0,0,0.213,6.136,6.723,"W01000141"
"142","W01000142",13,1603,772,831,231,1372,0.974,0,0,2.587,6.174,9.735,"W01000142"
"143","W01000143",24,1543,785,758,362,1181,0,0,0,1.008,2.628,3.636,"W01000143"
"144","W01000144",77,1516,805,711,361,1155,3.346,0.598,0,1.262,4.105,9.311,"W01000144"
"145","W01000145",28,1281,603,678,282,999,0.307,0,0,0.46,3.299,4.066,"W01000145"
"146","W01000146",72,2254,1145,1109,303,1951,0.701,0,0,1.337,8.565,10.603,"W01000146"
"147","W01000147",29,1493,693,800,185,1308,0.484,0,0,4.071,13.292,17.847,"W01000147"
"148","W01000148",21,1205,563,642,295,910,0.818,0,0,2.371,3.748,6.937,"W01000148"
"149","W01000149",76,1490,720,770,256,1234,0.792,0,0,4.369,7.844,13.005,"W01000149"
"150","W01000150",34,1509,756,753,320,1189,0,0,0,0.456,8.061,8.517,"W01000150"
"151","W01000151",36,1589,765,824,437,1152,0.274,0,0,2.386,4.164,6.824,"W01000151"
"152","W01000152",40,1492,697,795,320,1172,0.528,0,0,3.136,4.631,8.295,"W01000152"
"153","W01000153",97,1542,766,776,268,1274,4.262,0,0,7.793,13.156,25.211,"W01000153"
"154","W01000154",21,1475,662,813,245,1230,0,0,0,0.735,5.244,5.979,"W01000154"
"155","W01000155",63,1549,678,871,238,1311,0,0.823,0,0.348,3.565,4.736,"W01000155"
"156","W01000156",34,1517,686,831,167,1350,0,0.002,0,0.302,4.319,4.623,"W01000156"
"157","W01000157",15,1465,692,773,283,1182,0,0,0,1.148,3.471,4.619,"W01000157"
"158","W01000158",69,1587,725,862,207,1380,0,1.223,0,1.393,5.584,8.2,"W01000158"
"159","W01000159",74,1435,721,714,274,1161,17.47,14.401,0,43.091,66.919,141.881,"W01000159"
"160","W01000160",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","W01000161",176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","W01000162",52,1925,1015,910,420,1505,17.952,16.583,0,53.238,134.274,222.047,"W01000162"
"163","W01000163",41,1337,640,697,420,917,0.7,0,0,2.624,8.223,11.547,"W01000163"
"164","W01000164",9,1406,676,730,360,1046,0,0,0,1.799,6.839,8.638,"W01000164"
"165","W01000165",57,1930,959,971,333,1597,1.001,0.02,0,0.081,7.871,8.973,"W01000165"
"166","W01000166",76,1949,896,1053,438,1511,1.314,0.283,0,1.469,9.034,12.1,"W01000166"
"167","W01000167",48,1923,943,980,436,1487,1.809,0,0,1.298,7.92,11.027,"W01000167"
"168","W01000168",17,1784,825,959,414,1370,0.647,0,0,1.41,4.399,6.456,"W01000168"
"169","W01000169",109,1855,925,930,238,1617,0.212,0,0,0.914,7.073,8.199,"W01000169"
"170","W01000170",5,1822,890,932,351,1471,0,0,0,3.882,11.448,15.33,"W01000170"
"171","W01000171",16,1582,768,814,305,1277,0,0,0,2.616,8.897,11.513,"W01000171"
"172","W01000172",13,1286,610,676,288,998,2.266,0,0,1.949,7.164,11.379,"W01000172"
"173","W01000173",29,1549,807,742,389,1160,0.109,0.066,0,4.83,14.434,19.439,"W01000173"
"174","W01000174",25,1702,806,896,349,1353,0,0.364,0,0.094,4.095,4.553,"W01000174"
"175","W01000175",42,1632,765,867,221,1411,0,0.611,0,0.02,6.593,7.224,"W01000175"
"176","W01000176",63,1606,786,820,372,1234,1.724,0,0,1.414,4.669,7.807,"W01000176"
"177","W01000177",50,1237,596,641,263,974,0.511,0,0,2.189,6.162,8.862,"W01000177"
"178","W01000178",58,1901,882,1019,450,1451,1.762,0,0,0.872,4.394,7.028,"W01000178"
"179","W01000179",20,1604,741,863,195,1409,0.065,0,0,0.254,7.948,8.267,"W01000179"
"180","W01000180",22,1682,842,840,376,1306,0,1.761,0,2.951,6.604,11.316,"W01000180"
"181","W01000181",10,1556,766,790,390,1166,0,1.534,0,0.063,3.723,5.32,"W01000181"
"182","W01000182",69,1918,925,993,273,1645,1.572,0.867,0,0.743,4.475,7.657,"W01000182"
"183","W01000183",69,1485,751,734,321,1164,1.22,0.805,0,0.276,4.879,7.18,"W01000183"
"184","W01000184",90,2380,1120,1260,377,2003,2.14,0,0,19.941,12.977,35.058,"W01000184"
"185","W01000185",51,1229,619,610,214,1015,0,8.664,0,47.913,21.619,78.196,"W01000185"
"186","W01000186",94,1711,805,906,339,1372,1.657,0.561,0,0.914,4.972,8.104,"W01000186"
"187","W01000187",39,1561,715,846,509,1052,0.637,0,0,1.151,4.579,6.367,"W01000187"
"188","W01000188",19,1736,823,913,301,1435,0.352,0.172,0,0.31,4.782,5.616,"W01000188"
"189","W01000189",104,1465,764,701,245,1220,12.462,31.382,0,129.861,77.429,251.134,"W01000189"
"190","W01000190",93,1399,684,715,259,1140,13.272,19.454,0,134.809,85.035,252.57,"W01000190"
"191","W01000191",147,2147,1051,1096,491,1656,7.488,1.458,0,16.924,22.786,48.656,"W01000191"
"192","W01000192",82,1011,513,498,157,854,11.588,6.718,0,21.984,25.156,65.446,"W01000192"
"193","W01000193",99,1314,677,637,280,1034,8.22,1.236,0,8.865,16.648,34.969,"W01000193"
"194","W01000194",52,2122,1050,1072,443,1679,0.63,0.507,0,0.889,5.736,7.762,"W01000194"
"195","W01000195",22,1379,655,724,242,1137,1.548,0,0,0.302,4.826,6.676,"W01000195"
"196","W01000196",50,1506,744,762,356,1150,2.603,0,0,2.16,4.039,8.802,"W01000196"
"197","W01000197",47,1676,832,844,370,1306,2.788,0,0,7.624,6.896,17.308,"W01000197"
"198","W01000198",11,1475,760,715,398,1077,0,0.227,0,0.136,2.154,2.517,"W01000198"
"199","W01000199",70,1690,854,836,340,1350,3.015,7.714,0,11.975,8.929,31.633,"W01000199"
"200","W01000200",14,1283,628,655,275,1008,0.771,0,0,1.093,5.227,7.091,"W01000200"
"201","W01000201",72,1498,723,775,368,1130,1.584,2.179,0,2.429,8.744,14.936,"W01000201"
"202","W01000202",65,1686,826,860,416,1270,2.804,13.927,0,84.845,76.799,178.375,"W01000202"
"203","W01000203",209,2456,1242,1214,470,1986,21.756,13.108,0,70.176,54.372,159.412,"W01000203"
"204","W01000204",64,1421,720,701,227,1194,4.816,6.465,0,23.629,19.937,54.847,"W01000204"
"205","W01000205",21,1122,582,540,198,924,0,8.221,0,41.226,38.133,87.58,"W01000205"
"206","W01000206",90,2156,1074,1082,461,1695,3.789,6.747,0,21.181,55.206,86.923,"W01000206"
"207","W01000207",169,2227,1124,1103,410,1817,23.923,11.899,0,49.473,106.437,191.732,"W01000207"
"208","W01000208",110,1229,650,579,190,1039,10.94,1.015,0,22.35,38.965,73.27,"W01000208"
"209","W01000209",21,1496,731,765,284,1212,0.608,0,0,2.142,5.792,8.542,"W01000209"
"210","W01000210",50,1354,639,715,209,1145,3.742,0.021,0,6.66,11.769,22.192,"W01000210"
"211","W01000211",59,1856,930,926,355,1501,4.221,15.852,0,88.15,133.089,241.312,"W01000211"
"212","W01000212",50,2189,1052,1137,400,1789,0.6,0,0,0.001,7.525,8.126,"W01000212"
"213","W01000213",86,1343,628,715,336,1007,0.225,0.596,0,0.37,3.399,4.59,"W01000213"
"214","W01000214",35,1171,563,608,294,877,0.759,0,0,3.972,5.171,9.902,"W01000214"
"215","W01000215",15,1435,688,747,274,1161,0.267,0,0,0.207,4.176,4.65,"W01000215"
"216","W01000216",59,1409,677,732,326,1083,0.685,0,0,1.988,5.509,8.182,"W01000216"
"217","W01000217",40,2066,1010,1056,495,1571,1.188,0,0,0.708,6.755,8.651,"W01000217"
"218","W01000218",42,1546,737,809,309,1237,0.42,0.091,0,3,3.548,7.059,"W01000218"
"219","W01000219",32,2566,1237,1329,667,1899,0.522,0,0,1.488,6.874,8.884,"W01000219"
"220","W01000220",40,1604,772,832,116,1488,1.17,0,0,0.206,7.432,8.808,"W01000220"
"221","W01000221",16,1348,647,701,235,1113,0,0,0,0,3.732,3.732,"W01000221"
"222","W01000222",15,1660,771,889,245,1415,0,0,0,0.207,5.722,5.929,"W01000222"
"223","W01000223",167,1325,633,692,244,1081,2.945,0.221,0,5.015,8.324,16.505,"W01000223"
"224","W01000224",17,1402,672,730,276,1126,0.349,0,0,0.713,4.483,5.545,"W01000224"
"225","W01000225",99,1528,738,790,302,1226,1.075,0,0,2.607,4.782,8.464,"W01000225"
"226","W01000226",28,1515,753,762,252,1263,1.566,0.24,0,0.957,3.54,6.303,"W01000226"
"227","W01000227",40,1556,741,815,285,1271,0.621,0,0,0.315,4.117,5.053,"W01000227"
"228","W01000228",40,1146,576,570,203,943,0.572,0.737,0,1.033,3.305,5.647,"W01000228"
"229","W01000229",20,1606,767,839,256,1350,0.184,0,0,0,3.322,3.506,"W01000229"
"230","W01000230",50,1963,946,1017,319,1644,0.571,0,0,0.068,5.282,5.921,"W01000230"
"231","W01000231",21,1432,676,756,312,1120,0,0.327,0,0.06,3.043,3.43,"W01000231"
"232","W01000232",18,1605,777,828,345,1260,0,0.457,0,0.054,3.039,3.55,"W01000232"
"233","W01000233",21,1276,616,660,226,1050,0.163,0.116,0,0.001,2.493,2.773,"W01000233"
"234","W01000234",26,1405,665,740,377,1028,0,0.108,0,0.029,3.361,3.498,"W01000234"
"235","W01000235",10,1330,658,672,309,1021,0,0,0,0.074,3.541,3.615,"W01000235"
"236","W01000236",83,1875,897,978,534,1341,0.37,0,0,1.091,4.48,5.941,"W01000236"
"237","W01000237",41,1806,868,938,649,1157,0,0,0,0.832,5.143,5.975,"W01000237"
"238","W01000238",69,1702,826,876,441,1261,0.323,0.274,0,0.279,2.76,3.636,"W01000238"
"239","W01000239",69,1781,952,829,384,1397,0.284,0.69,0,1.677,3.232,5.883,"W01000239"
"240","W01000240",173,1316,755,561,265,1051,1.202,0.131,0,1.708,3.865,6.906,"W01000240"
"241","W01000241",58,1289,630,659,368,921,0.804,0.449,0,1.618,3.39,6.261,"W01000241"
"242","W01000242",28,1906,924,982,416,1490,2.404,0.664,0,1,5.775,9.843,"W01000242"
"243","W01000243",33,1823,892,931,407,1416,1.766,0,0,1.133,9.469,12.368,"W01000243"
"244","W01000244",8,1732,845,887,357,1375,1.475,0,0,0.183,6.148,7.806,"W01000244"
"245","W01000245",33,1674,826,848,318,1356,2.342,0,0,4.307,7.084,13.733,"W01000245"
"246","W01000246",74,1681,795,886,338,1343,1.953,2.161,0,1.67,7.16,12.944,"W01000246"
"247","W01000247",165,1970,953,1017,344,1626,5.533,5.46,0,25.291,28.125,64.409,"W01000247"
"248","W01000248",156,1649,819,830,332,1317,11.593,10.103,0,22.445,67.851,111.992,"W01000248"
"249","W01000249",4,1258,597,661,264,994,0,0,0,0.283,3.397,3.68,"W01000249"
"250","W01000250",47,1578,796,782,304,1274,3.576,0,0,1.652,5.03,10.258,"W01000250"
"251","W01000251",61,1486,716,770,353,1133,0.369,0.227,0,0,3.459,4.055,"W01000251"
"252","W01000252",88,1631,807,824,235,1396,1.269,0.311,0,1.222,6.964,9.766,"W01000252"
"253","W01000253",34,1941,964,977,435,1506,0.893,0,0,0.579,8.943,10.415,"W01000253"
"254","W01000254",69,2224,1094,1130,547,1677,3.269,0,0,2.095,11.792,17.156,"W01000254"
"255","W01000255",196,2292,1137,1155,482,1810,4.234,0.682,0,20.194,13.553,38.663,"W01000255"
"256","W01000256",39,1561,763,798,381,1180,3.076,0,0,1.713,4.993,9.782,"W01000256"
"257","W01000257",19,2121,1091,1030,401,1720,0.186,0,0,0.261,6.146,6.593,"W01000257"
"258","W01000258",174,2153,1081,1072,382,1771,4.848,2.977,0,8.96,22.588,39.373,"W01000258"
"259","W01000259",71,1636,788,848,301,1335,2.527,0,0,1.774,3.668,7.969,"W01000259"
"260","W01000260",9,1809,880,929,356,1453,0,0,0,0.167,4.252,4.419,"W01000260"
"261","W01000261",26,1549,761,788,284,1265,0.855,0,0,0.193,3.317,4.365,"W01000261"
"262","W01000262",16,1490,722,768,374,1116,0.121,0,0,0.857,3.709,4.687,"W01000262"
"263","W01000263",5,1488,745,743,347,1141,0,0,0,0.131,2.647,2.778,"W01000263"
"264","W01000264",21,1701,844,857,466,1235,0.239,0.078,0,1.753,4.534,6.604,"W01000264"
"265","W01000265",40,1312,639,673,225,1087,1.483,0,0,1.594,5.387,8.464,"W01000265"
"266","W01000266",14,1320,654,666,235,1085,0.164,0.697,0,0.419,3.856,5.136,"W01000266"
"267","W01000267",15,1593,787,806,322,1271,0.065,0,0,0.333,5.83,6.228,"W01000267"
"268","W01000268",14,1767,885,882,445,1322,0,0.812,0,1.123,5.607,7.542,"W01000268"
"269","W01000269",29,1619,791,828,275,1344,1.791,0,0,0.828,3.953,6.572,"W01000269"
"270","W01000270",30,1286,654,632,228,1058,2.409,2.813,0,13.063,32.387,50.672,"W01000270"
"271","W01000271",54,1283,630,653,239,1044,2.241,4.726,0,9.322,20.312,36.601,"W01000271"
"272","W01000272",105,1874,921,953,339,1535,7.942,0.501,0,26.202,47.989,82.634,"W01000272"
"273","W01000273",21,1585,764,821,351,1234,0,0.256,0,0.046,3.844,4.146,"W01000273"
"274","W01000274",57,1771,892,879,425,1346,0.351,0.857,0,6.82,4.741,12.769,"W01000274"
"275","W01000275",66,1253,646,607,271,982,2.414,1.069,0,8.178,3.608,15.269,"W01000275"
"276","W01000276",2,1393,709,684,391,1002,0,0,0,0,2.851,2.851,"W01000276"
"277","W01000277",20,1363,636,727,329,1034,0,0,0,0.25,5.414,5.664,"W01000277"
"278","W01000278",25,1495,723,772,414,1081,0,0.242,0,0,1.71,1.952,"W01000278"
